epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4239,2.55205,5.53931,1.49715,0.00826,0.4742,0.00546,0.00141,2.16326,4.47741,1.10097,5.91242e-05,5.91242e-05,5.91242e-05
2,92.5979,1.83836,4.17902,1.06964,0.05718,0.1635,0.03132,0.01345,1.61144,3.24082,0.98438,0.000115851,0.000115851,0.000115851
3,133.112,1.62126,3.38311,1.02582,0.07904,0.20656,0.06927,0.03609,1.39707,2.78168,0.93897,0.000169624,0.000169624,0.000169624
4,174.245,1.51097,3.01682,1.00584,0.1277,0.36608,0.12563,0.07801,1.19153,2.44877,0.89978,0.000165709,0.000165709,0.000165709
5,215.475,1.45123,2.7634,0.99426,0.17938,0.43489,0.19148,0.10766,1.34923,2.24216,0.92381,0.000161279,0.000161279,0.000161279
6,255.598,1.41946,2.58975,0.98481,0.23195,0.51422,0.25421,0.16385,1.18012,2.05754,0.90005,0.000156849,0.000156849,0.000156849
7,294.892,1.39563,2.43419,0.98236,0.30817,0.54108,0.34176,0.20927,1.23957,1.896,0.90415,0.000152418,0.000152418,0.000152418
8,334.83,1.37467,2.31353,0.97525,0.36864,0.59372,0.42109,0.28957,1.03636,1.71053,0.86737,0.000147988,0.000147988,0.000147988
9,374.873,1.36772,2.21547,0.97387,0.41875,0.62472,0.47791,0.28172,1.27984,1.64876,0.90735,0.000143558,0.000143558,0.000143558
10,414.757,1.347,2.1212,0.9694,0.44203,0.65844,0.51591,0.31844,1.24209,1.5957,0.9017,0.000139128,0.000139128,0.000139128
11,455.106,1.33328,2.05094,0.96384,0.47807,0.67516,0.567,0.36652,1.18006,1.48638,0.88997,0.000134697,0.000134697,0.000134697
12,495.599,1.32051,1.98599,0.95922,0.52093,0.6991,0.62022,0.44903,0.97227,1.37598,0.85337,0.000130267,0.000130267,0.000130267
13,536.804,1.31213,1.91491,0.96083,0.55852,0.71264,0.65318,0.46993,0.99117,1.33592,0.85809,0.000125837,0.000125837,0.000125837
14,577.448,1.29394,1.85164,0.95393,0.60549,0.74146,0.71144,0.48951,1.07302,1.24737,0.87225,0.000121407,0.000121407,0.000121407
15,616.644,1.29015,1.81139,0.95179,0.63152,0.75172,0.73719,0.48417,1.15743,1.22173,0.88367,0.000116976,0.000116976,0.000116976
16,655.03,1.27518,1.75126,0.94947,0.65022,0.76059,0.7593,0.52913,1.03269,1.15495,0.8631,0.000112546,0.000112546,0.000112546
17,694.489,1.27296,1.71894,0.94801,0.67799,0.7679,0.77776,0.52939,1.08173,1.13662,0.87221,0.000108116,0.000108116,0.000108116
18,733.769,1.26478,1.68466,0.9459,0.67466,0.78298,0.7822,0.56175,0.99706,1.11553,0.85733,0.000103686,0.000103686,0.000103686
19,773.558,1.25873,1.65745,0.94566,0.68583,0.78445,0.79695,0.56013,1.03122,1.07826,0.86487,9.92555e-05,9.92555e-05,9.92555e-05
20,813.648,1.25082,1.62465,0.94238,0.69876,0.78161,0.79722,0.60468,0.88172,1.06336,0.83983,9.48253e-05,9.48253e-05,9.48253e-05
21,852.728,1.24649,1.5984,0.93983,0.69516,0.80543,0.81199,0.59172,0.96337,1.04283,0.85193,9.0395e-05,9.0395e-05,9.0395e-05
22,892.239,1.24104,1.57903,0.9394,0.7032,0.80606,0.81219,0.58354,0.98764,1.01956,0.85714,8.59647e-05,8.59647e-05,8.59647e-05
23,932.461,1.23518,1.55913,0.93902,0.71589,0.81137,0.82129,0.61815,0.89599,0.98461,0.84034,8.15345e-05,8.15345e-05,8.15345e-05
24,972.034,1.22744,1.54029,0.93612,0.71979,0.82014,0.83229,0.62837,0.89114,0.97283,0.839,7.71043e-05,7.71043e-05,7.71043e-05
25,1011.26,1.22362,1.52262,0.93469,0.73134,0.82983,0.83933,0.62306,0.9209,0.95789,0.84472,7.2674e-05,7.2674e-05,7.2674e-05
26,1050.14,1.21479,1.50729,0.9346,0.72645,0.83192,0.83868,0.62911,0.89685,0.95139,0.83867,6.82437e-05,6.82437e-05,6.82437e-05
27,1089.66,1.21644,1.49027,0.93317,0.73554,0.83715,0.85028,0.64175,0.89374,0.93198,0.83966,6.38135e-05,6.38135e-05,6.38135e-05
28,1129.9,1.20504,1.47477,0.93084,0.74444,0.84081,0.85271,0.64915,0.87329,0.92483,0.83397,5.93832e-05,5.93832e-05,5.93832e-05
29,1169.3,1.20418,1.46433,0.93077,0.74983,0.84444,0.85482,0.64703,0.88278,0.91802,0.83742,5.4953e-05,5.4953e-05,5.4953e-05
30,1208.17,1.19898,1.44755,0.92871,0.74225,0.84712,0.8576,0.64608,0.89043,0.90945,0.83864,5.05227e-05,5.05227e-05,5.05227e-05
31,1249.3,1.11042,1.23312,0.94514,0.74062,0.84477,0.84805,0.64865,0.86732,0.93093,0.83482,4.60925e-05,4.60925e-05,4.60925e-05
